id,priority_date,cite_number
CN-108683509-B,15/05/2018,16.0
CN-112514345-B,29/03/2018,15.0
CN-108805712-B,29/05/2018,16.0
CN-107330681-B,27/06/2017,17.0
CN-106209947-B,07/05/2015,29.0
CN-109377215-B,06/08/2018,15.0
CN-111640021-B,19/01/2018,16.0
CN-112383473-B,12/06/2020,14.0
CN-111539750-B,27/04/2020,14.0
CN-111512658-B,19/12/2017,16.0
CN-109189751-B,18/09/2018,
CN-111213128-B,16/10/2019,
CN-110866752-B,18/09/2017,
CN-109690599-B,18/09/2017,
CN-111095338-B,28/06/2019,
CN-110009337-B,21/12/2018,
CN-110097462-B,29/01/2018,
CN-109584066-B,31/10/2018,
CN-110033258-B,12/11/2018,
CN-109359971-B,06/08/2018,
CN-109035019-B,11/07/2018,
CN-110933020-B,20/09/2018,
CN-110569309-B,17/09/2019,
CN-111656343-B,11/09/2019,
CN-112470424-B,01/06/2018,
CN-110245956-B,15/05/2019,
CN-108197944-B,22/11/2017,
CN-107707410-B,26/10/2017,
CN-109462505-B,12/11/2018,
CN-109767214-B,27/12/2018,
CN-110199302-B,13/12/2018,
CN-108596623-B,09/05/2018,
CN-112491847-B,08/07/2020,
CN-111541727-B,08/07/2020,
CN-111914027-B,05/08/2020,
CN-111666323-B,15/05/2020,
CN-112840617-B,09/10/2018,
CN-111183446-B,02/09/2019,
CN-110520862-B,27/03/2017,
CN-110032884-B,31/01/2019,
CN-109993546-B,18/02/2019,
CN-110971652-A,28/09/2018,
CN-109377232-B,20/12/2018,
CN-104822098-B,05/02/2014,
CN-112740252-A,20/07/2018,
CN-111213350-B,02/07/2019,
CN-111480157-B,05/09/2019,
CN-109871712-B,24/01/2019,
CN-109886682-B,31/01/2019,
CN-112292841-B,26/06/2018,
CN-110505058-B,20/08/2019,
CN-110472201-B,26/07/2019,
CN-111159769-B,31/12/2019,
CN-111538996-B,08/07/2020,
CN-111066303-B,16/08/2017,
CN-109034813-B,07/09/2018,
CN-110443614-B,07/09/2018,
CN-110460590-B,07/12/2018,
CN-108985100-B,15/08/2018,
CN-109598598-B,25/10/2018,
CN-110771095-B,28/02/2019,
CN-110148054-B,15/05/2019,
CN-110430162-B,28/06/2019,
CN-110597907-B,10/09/2019,
CN-108564471-B,17/04/2018,
CN-109544331-B,12/10/2018,
CN-108830720-B,21/06/2018,
CN-109242485-B,13/08/2018,
CN-109191212-B,14/09/2018,
CN-108647964-B,02/05/2018,
CN-107358422-B,23/06/2017,
CN-108364229-B,19/01/2018,
CN-109697367-B,09/01/2019,
CN-110019516-B,10/11/2017,
CN-110474986-B,20/08/2019,
CN-110580418-B,08/11/2019,
CN-111434084-B,20/10/2017,
CN-109815657-B,14/12/2018,
CN-109274754-B,11/10/2018,17.0
CN-110166411-B,13/02/2018,19.0
CN-109657446-B,28/03/2016,187.0
CN-107660293-B,20/04/2015,57.0
CN-110851496-B,07/12/2018,18.0
CN-110009334-B,07/11/2018,18.0
CN-105956923-B,20/04/2016,209.0
CN-109872152-B,11/01/2019,18.0
CN-106897348-B,19/08/2016,35.0
CN-109981689-B,29/04/2019,
CN-109214197-B,14/08/2018,
CN-110580414-B,08/11/2019,
CN-109325870-B,10/10/2018,
CN-107273455-B,31/05/2017,
CN-106981004-B,15/01/2016,
CN-109075971-B,08/02/2016,
CN-106549749-B,06/12/2016,
CN-109074579-B,23/02/2016,
CN-108885745-B,23/02/2016,
CN-109155035-B,23/02/2016,
CN-107038639-B,07/03/2017,
CN-109154885-B,21/03/2016,
CN-108885746-B,24/03/2016,
CN-110417844-B,30/04/2018,
CN-106982205-B,01/03/2017,
CN-109417478-B,23/05/2016,
CN-109417479-B,23/05/2016,
CN-109981679-B,08/04/2019,
CN-109478298-B,29/07/2016,
CN-107273410-B,03/05/2017,
CN-107317730-B,21/08/2017,
CN-109691015-B,30/08/2016,
CN-110178340-B,13/12/2018,
CN-108683738-B,16/05/2018,
CN-109845220-B,30/09/2016,
CN-107835076-B,15/09/2016,
CN-107911421-B,30/10/2017,
CN-110121727-B,28/12/2016,
CN-110187827-B,23/02/2018,
CN-108829350-B,31/05/2018,
CN-112887421-B,31/07/2019,
CN-108921551-B,11/06/2018,
CN-111966698-B,03/07/2020,
CN-109150972-B,17/07/2018,
CN-110300973-B,07/02/2017,
CN-110249333-B,07/02/2017,
CN-110537355-B,18/04/2017,
CN-111466096-B,08/09/2017,
CN-109831298-B,31/01/2019,
CN-109983466-B,27/09/2018,
CN-108683630-B,03/04/2018,
CN-110870253-B,30/06/2017,
CN-108595126-B,27/04/2018,
CN-110929288-B,07/12/2018,
CN-109635585-B,07/12/2018,
CN-109639632-B,02/11/2018,
CN-110335149-B,19/06/2019,
CN-109426952-B,22/08/2017,
CN-110692228-B,01/03/2019,
CN-112074856-B,06/03/2018,
CN-110874746-B,29/12/2018,
CN-110599345-A,24/09/2019,
CN-110024352-B,30/12/2016,
CN-110428056-B,30/04/2018,
CN-110622474-B,15/05/2017,
CN-106534273-B,31/10/2016,
CN-109144414-B,27/07/2018,
CN-106779737-B,30/11/2016,
CN-110489485-B,28/04/2018,
CN-109964242-B,25/05/2018,
CN-108701296-B,11/02/2016,
CN-109767219-B,11/01/2019,
CN-109615378-B,24/01/2019,
CN-108604344-B,12/02/2016,
CN-109120398-B,03/08/2018,
