id,priority_date,cite_number,assignee
GB-2576375-A,17/08/2018,9,Uvue Ltd
GB-2604556-A,18/12/2019,6,Jaj Tech Pte Ltd
GB-2549085-A,30/03/2016,10,British Telecomm
GB-2606077-A,04/11/2019,8,Ibm
GB-2594396-A,20/11/2018,8,Ciphertrace Inc
GB-2593647-A,20/11/2018,8,"Ciphertrace Inc, Jevans David"
GB-2588659-A,31/10/2019,7,Nchain Holdings Ltd
GB-2548802-A,22/03/2016,9,Bitcred Ltd
GB-2614841-A,29/09/2020,2,Ibm
GB-2566741-A,26/09/2017,15,Phm Associates Ltd
GB-2587773-A,24/05/2019,3,Nchain Holdings Ltd
GB-2583767-A,10/05/2019,3,Nchain Holdings Ltd
GB-2574828-A,19/06/2018,4,Setl Ltd
GB-2597181-A,10/04/2019,10,Akiva Capital Holdings Inc
GB-2571015-A,05/12/2016,13,Quanta Tech Limited
GB-2488906-A,09/03/2011,20,Apple Inc
GB-201204135-D0,09/03/2011,20,Apple Inc
GB-2594658-A,16/01/2019,9,Emc Ip Holding Co Llc
GB-2579934-A,11/08/2017,8,Ibm
GB-2594646-A8,16/01/2019,7,Emc Ip Holding Co Llc
GB-2594646-A,16/01/2019,7,Emc Ip Holding Co Llc
GB-2592338-A,25/07/2019,,Nchain Holdings Ltd
GB-2573187-A,22/01/2018,,Avaya Inc
GB-2594417-A,16/01/2019,,Emc Ip Holding Co Llc
GB-2594018-A,19/12/2018,,Perk Hero Software Inc
GB-2588072-A,24/05/2019,,Nchain Holdings Ltd
GB-2570786-A,14/12/2017,,Norton Linus
GB-2613724-A,03/08/2020,,Ibm
GB-2603068-A8,25/10/2019,,Build It Ltd
GB-2603068-A,25/10/2019,,Build It Ltd
GB-2573394-A,19/03/2019,,ZingMobile Pte Ltd
GB-2583313-A,10/01/2018,,Ibm
GB-2593109-A,21/09/2020,,Jiangsu Aowei Holdings Co Ltd
GB-2591324-A,29/10/2019,,Mash Daniel
GB-2533340-A,17/12/2014,,Ibm
GB-2586470-A,19/08/2019,,"Paul Zynda Edmund iii, Frank Pira"
GB-2572135-A,07/03/2018,,The Maidsafe Found
GB-2591625-A,19/07/2018,,Asia Top Loyalty Ltd
GB-2597197-A,13/02/2019,,Jpmorgan Chase Bank Na
GB-2583770-A,10/05/2019,,Nchain Holdings Ltd
GB-2559592-A,09/02/2017,,Mollah Stephen
GB-2584154-A,24/05/2019,,Nchain Holdings Ltd
GB-2607701-A,17/01/2020,,Fns Value Co Ltd
GB-2565179-A,22/06/2017,,Adobe Systems Inc
GB-2591164-A,17/01/2020,,Fns Value Co Ltd
GB-2608328-A,23/03/2020,,Daxchain Ltd
GB-2604273-A,10/10/2018,,Pontoro Inc
GB-2596065-A,12/06/2020,,Nchain Holdings Ltd
GB-2581970-A,04/03/2019,,Nchain Holdings Ltd
GB-2594231-A,24/12/2019,,Nchain Holdings Ltd
GB-2514716-A,25/10/2013,,Univ Stellenbosch
GB-2571545-A,28/02/2018,,Wippit Ltd
GB-2589542-A,04/09/2019,,Tietze Frank
GB-2577971-A,12/10/2018,,Adobe Inc
GB-2599416-A,30/09/2020,,Nchain Holdings Ltd
GB-201122196-D0,30/11/2010,,Zoo Digital Ltd
GB-2599735-A,12/10/2020,,Cambridge Cryptographic Ltd
GB-2573840-A,18/05/2018,,Imagenpay Uk Ltd
GB-2587541-A,05/10/2018,,Dragon Infosec Ltd
GB-2575624-A,15/06/2018,,Wrt Tech Limited
GB-2573519-A,07/05/2018,,Rowanalytics Ltd
GB-2604000-A,02/12/2020,,Ibm
GB-2573499-A,22/03/2018,,Chaddenwych Services Ltd
GB-2615710-A,24/11/2020,,Ibm
GB-2612236-A,29/06/2020,,Markaaz Inc
GB-2595954-A,12/06/2020,,Fujitsu Ltd
GB-2601328-A,25/11/2020,,Cambridge Cryptographic Ltd
GB-2599734-A,12/10/2020,,Cambridge Cryptographic Ltd
GB-2584346-A,31/05/2019,,British Telecomm
GB-2579594-A,05/12/2018,,Ernst & Young Gmbh
GB-2585010-A,24/06/2019,,Blockstar Developments Ltd
GB-2581012-A,07/12/2018,,Honeywell Int Inc
GB-2486028-A,30/11/2010,,Zoo Digital Ltd
GB-2592627-A,04/03/2020,,Nchain Holdings Ltd
GB-2592979-A,13/03/2020,,Nchain Holdings Ltd
