id,priority_date,cite_number
KR-102121930-B1,03/07/2018,
KR-102284972-B1,17/02/2017,
KR-102209737-B1,28/12/2016,
KR-102263985-B1,28/12/2016,
KR-102355666-B1,17/10/2016,
KR-102447353-B1,25/04/2018,
KR-20210003213-A,27/04/2018,
KR-102144302-B1,01/03/2016,
KR-102303376-B1,19/12/2018,
KR-102445254-B1,06/03/2018,
KR-102039351-B1,22/02/2018,
KR-102340588-B1,11/05/2021,
KR-102067882-B1,29/12/2017,
KR-102309819-B1,16/08/2017,
KR-102201235-B1,06/03/2019,
KR-102231411-B1,06/12/2016,
KR-102394303-B1,19/01/2018,
KR-101950507-B1,06/11/2017,
KR-102332031-B1,28/02/2019,
KR-102111141-B1,10/07/2018,
KR-20210111145-A,06/03/2018,
KR-102125177-B1,28/03/2017,
KR-20210111240-A,06/03/2018,
KR-20200108908-A,06/03/2018,
KR-20210107759-A,20/12/2018,
KR-102034449-B1,12/12/2017,
KR-20200079289-A,29/05/2018,
KR-20200085798-A,27/02/2018,
KR-102008001-B1,21/02/2019,
KR-102120539-B1,06/04/2018,
KR-20190137070-A,29/05/2018,
KR-102206940-B1,27/11/2018,
KR-20210003212-A,27/04/2018,
KR-102130651-B1,13/08/2018,
KR-20210002574-A,30/09/2018,
KR-20200090168-A,29/05/2018,
KR-20200131307-A,19/03/2018,
KR-20200108907-A,06/03/2018,
KR-102460107-B1,03/04/2018,
KR-20210093896-A,16/10/2018,
KR-102240120-B1,06/03/2018,
KR-102044749-B1,30/07/2019,
KR-102054410-B1,30/07/2019,
KR-102503515-B1,19/03/2018,
KR-102237219-B1,13/12/2018,
KR-102180991-B1,07/11/2018,
KR-102337170-B1,29/05/2018,
KR-102134549-B1,13/12/2018,
KR-102315799-B1,26/07/2017,
KR-102268950-B1,26/07/2017,
KR-102200790-B1,14/07/2017,
KR-102255724-B1,28/03/2017,
KR-102444468-B1,07/09/2018,
KR-102343134-B1,02/07/2018,
KR-102136960-B1,27/03/2019,
KR-102157452-B1,13/12/2018,
KR-102265652-B1,20/10/2016,
KR-102437812-B1,14/02/2018,
KR-102051288-B1,13/05/2016,
KR-102180079-B1,27/08/2018,
KR-102417067-B1,08/12/2017,
KR-102313265-B1,03/11/2017,
KR-101849917-B1,13/10/2016,
KR-101882802-B1,17/04/2017,
KR-20220063147-A,13/06/2019,
KR-101882805-B1,17/04/2017,
KR-102151384-B1,10/05/2018,
KR-102194074-B1,28/03/2017,
KR-102130062-B1,18/09/2018,
KR-102526384-B1,12/12/2018,
KR-102179543-B1,08/05/2018,
KR-102196001-B1,31/05/2019,
KR-102310803-B1,16/04/2018,
KR-102475649-B1,16/04/2018,
KR-102478132-B1,18/01/2019,
KR-102109885-B1,02/08/2019,
KR-102194078-B1,31/01/2019,
KR-102115660-B1,10/08/2018,
KR-101829729-B1,03/11/2016,
KR-102288344-B1,22/05/2017,
KR-20200021221-A,20/08/2018,
KR-102545178-B1,23/10/2017,
KR-102250810-B1,23/03/2018,
