filingDate,patentNumber
02/03/2012,20120173673
24/11/2009,8211487
15/04/2011,8209711
23/12/2011,20120159335
21/12/2010,20120158952
21/12/2010,20120158950
21/12/2010,20120158951
16/12/2010,20120159326
09/06/2006,8204233
15/04/2008,8200581
31/08/2007,8195607
16/02/2009,8196063
30/11/2010,20120137377
21/11/2011,20120137130
30/11/2010,20120136845
14/08/2009,8189790
03/06/2009,8184812
24/01/2012,20120124655
18/07/2005,8180708
15/05/2008,8180681
13/11/2008,8180886
07/11/2011,20120116728
29/10/2009,8176061
27/10/2011,20120110338
30/09/2011,20120105632
26/01/2011,8171065
17/04/2009,8171564
16/03/2010,8170783
05/12/2008,8171528
12/10/2010,8166522
01/02/2010,8165996
11/06/2009,8166038
24/06/2011,20120089841
20/12/2011,20120086785
15/12/2011,20120089933
20/03/2008,8156447
29/03/2010,20120084256
01/04/2010,8150929
13/09/2011,20120078908
29/09/2011,20120079013
06/04/2009,8139769
30/08/2005,8140362
21/02/2009,8140681
25/07/2011,20120066340
19/05/2011,20120066304
14/09/2010,20120066601
27/06/2011,20120058472
27/06/2011,20120058547
30/09/2003,8127366
18/06/2008,8126745
31/10/2011,20120047177
16/09/2010,20120047525
17/08/2010,20120047568
20/06/2008,8122501
02/09/2009,8122340
27/10/2011,20120041826
30/01/2008,8116596
15/09/2008,8112413
12/10/2011,20120030264
20/06/2008,8108928
22/07/2011,20120023522
03/08/2011,20120022975
21/07/2010,20120022931
21/07/2010,20120023015
21/07/2010,20120023095
08/10/2009,20120017254
20/12/2010,8099437
28/10/2010,20120005205
27/06/2011,20120004945
26/06/2008,8090681
07/02/2011,8621618
06/03/2012,20130346309
01/12/2008,8614623
24/04/2012,8615446
14/06/2013,20130339140
14/06/2012,20130339501
30/03/2004,8613102
14/06/2011,8612754
12/06/2012,20130329808
12/06/2012,20130329938
12/06/2012,20130329939
12/06/2012,20130332817
06/06/2012,20130333046
01/10/2007,8607354
30/05/2012,20130325822
17/05/2012,20130311248
17/05/2012,20130307848
13/03/2013,20130311294
15/05/2013,20130311565
