id,title,assignee,inventor,priority_date,filing_date,publication_date,grant_date,result_link,representative_figure_link
GB-2575704-A,Secure communication in a nondeterministic network ,Lenovo Singapore Pte Ltd,"David Waltermann Rod, Michael Pennisi Joseph",27/03/2018,26/03/2019,22/01/2020,,https://patents.google.com/patent/GB2575704A/en,
GB-2579635-A,A node testing method and apparatus for a blockchain system ,Dragon Infosec Ltd,"Matthew Dennis Richard, Huw Owenson Gareth",07/12/2018,07/12/2018,01/07/2020,,https://patents.google.com/patent/GB2579635A/en,
GB-2582978-A,Methods and devices for propagating blocks in a blockchain network ,Nchain Holdings Ltd,"Mackay Alexander, Zhang Wei, Shadders Steve, Steven Wright Craig",12/04/2019,12/04/2019,14/10/2020,,https://patents.google.com/patent/GB2582978A/en,
GB-2593421-A,Method of using a blockchain ,Nchain Holdings Ltd,"Owen Davies Jack, Joseph Daniel, Steven Wright Craig",24/10/2019,24/10/2019,29/09/2021,,https://patents.google.com/patent/GB2593421A/en,
GB-2564389-A,A system and method for utility management ,Green Running Ltd,"Gareth Davies Peter, Spiteri Conrad",04/07/2017,04/07/2017,16/01/2019,,https://patents.google.com/patent/GB2564389A/en,
GB-2572392-A,"A device, method and computer program product for re-allocating radio spectrum ","Sony Corp, Sony Europe Ltd",Brookes Karl,28/03/2018,28/03/2018,02/10/2019,,https://patents.google.com/patent/GB2572392A/en,
GB-2589578-A,Apparatus and methods for verifying a file origin ,Sage Global Services Ltd,"Stuart Goodwin Michael, Teyjas Jaya, Vogelberg Klaus-Michael, Latimer Christopher",02/12/2019,02/12/2019,09/06/2021,,https://patents.google.com/patent/GB2589578A/en,
GB-2589348-A,Provably fair games using a blockchain ,Nchain Holdings Ltd,"Steven Wright Craig, Owen Davies Jack, Tartan Chloe",27/11/2019,27/11/2019,02/06/2021,,https://patents.google.com/patent/GB2589348A/en,
GB-2601384-A,Secure safety-critical system log ,Motional Ad Llc,"Maass Michael, James Wilson Charles, Margaria James",30/11/2020,04/01/2021,01/06/2022,,https://patents.google.com/patent/GB2601384A/en,
GB-2588138-A,Methods and devices for secure symbiotic mining ,Nchain Holdings Ltd,"Davies Jack, Zhang Wei, Steven Wright Craig",09/10/2019,09/10/2019,21/04/2021,,https://patents.google.com/patent/GB2588138A/en,
GB-2578487-A,Data processing apparatus and data processing method for internet of things system ,Inst Information Ind,"Hsiao Yu-Cheng, Lai Ying-Hsun",25/10/2018,27/11/2018,13/05/2020,,https://patents.google.com/patent/GB2578487A/en,
GB-2581935-A,Authenticating a payment card ,Ibm,"Adolfo Zamora Duran Edgar, Friedrich Liebinger Portela Franz, Monge Nunez Roxana, Vanessa Vargas Sheyla",27/11/2017,16/11/2018,02/09/2020,,https://patents.google.com/patent/GB2581935A/en,
GB-2592222-A,Distributed database ,Nchain Holdings Ltd,"Steven Wright Craig, Owen Davies Jack",19/02/2020,19/02/2020,25/08/2021,,https://patents.google.com/patent/GB2592222A/en,
GB-2600294-A,"AI/ML, distributed computing, and blockchained based reservoir management platform ",Landmark Graphics Corp,"Prasad Rangarajan Keshava, Vikram R Pandya Raja, Madasu Srinath, Dande Shashi",23/08/2019,21/08/2020,27/04/2022,,https://patents.google.com/patent/GB2600294A/en,
