id,assignee,priority_date,symbol,company
WO-2020233627-A1,"Innovation Advanced Technology Co., Ltd.",20/05/2019,WO,
WO-2020233619-A1,"Innovation Advanced Technology Co., Ltd.",20/05/2019,WO,
CN-112887437-A,"Alipay (Hangzhou) Information Technology Co., Ltd., Ant Blockchain Technology (Shanghai) Co., Ltd.",28/04/2021,CN,Alipay (Hangzhou) Information Technology
CN-115349244-A,International Business Machinery Company,03/03/2020,CN,
PH-12020551810-A1,Alipay Hangzhou Inf Tech Co Ltd,27/11/2019,PH,
GB-2606077-A,Ibm,04/11/2019,GB,
CN-113971289-A,"Alipay (Hangzhou) Information Technology Co., Ltd.",08/07/2020,CN,Alipay (Hangzhou) Information Technology
CN-111541553-A,"Alipay (Hangzhou) Information Technology Co., Ltd.",08/07/2020,CN,Alipay (Hangzhou) Information Technology
WO-2020119380-A1,"Alibaba Group Holding Co., Ltd.",12/12/2018,WO,
CN-112513906-A,"Innovation Advanced Technology Co., Ltd.",23/07/2019,CN,
WO-2020035086-A2,"Alipay (Hangzhou) Information Technology Co., Ltd.",06/11/2019,WO,Alipay (Hangzhou) Information Technology
WO-2020134606-A1,"Alibaba Group Holding Co., Ltd.",25/12/2018,WO,
WO-2020088130-A1,"Alibaba Group Holding Co., Ltd.",31/10/2018,WO,
WO-2019228571-A2,Alibaba Group Holding Limited,12/09/2019,WO,Alibaba Group Holding Limited
WO-2019228566-A2,Alibaba Group Holding Limited,11/09/2019,WO,Alibaba Group Holding Limited
WO-2019228553-A2,Alibaba Group Holding Limited,27/08/2019,WO,Alibaba Group Holding Limited
DE-112021001671-T5,International Business Machines Corporation,13/05/2020,DE,International Business Machines Corporation
CN-111418184-A,"Alipay (Hangzhou) Information Technology Co., Ltd.",03/02/2020,CN,Alipay (Hangzhou) Information Technology
CN-111414413-A,International Business Machinery Company,07/01/2019,CN,
PH-12020000050-A1,Alibaba Group Holding Ltd,23/07/2019,PH,
WO-2022237590-A1,"Alipay (Hangzhou) Information Technology Co., Ltd., Ant Blockchain Technology (Shanghai) Co., Ltd.",11/05/2021,WO,Alipay (Hangzhou) Information Technology
WO-2020098835-A3,"Alipay (Hangzhou) Information Technology Co., Ltd.",03/02/2020,WO,Alipay (Hangzhou) Information Technology
CA-3175619-A1,"Petr Novotny, International Business Machines Corporation, Timothy Olson, Venkatraman Ramakrishna, Nitin Gaur",13/05/2020,CA,International Business Machines Corporation
DE-102021125847-A1,International Business Machines Corporation,17/11/2020,DE,International Business Machines Corporation
WO-2021229404-A1,"International Business Machines Corporation, Ibm United Kingdom Limited, Ibm (China) Investment Company Limited",13/05/2020,WO,International Business Machines Corporation
CN-111418183-A,"Alipay (Hangzhou) Information Technology Co., Ltd.",27/11/2019,CN,Alipay (Hangzhou) Information Technology
WO-2020035095-A3,"Alipay (Hangzhou) Information Technology Co., Ltd.",27/11/2019,WO,Alipay (Hangzhou) Information Technology
WO-2019137567-A2,Alibaba Group Holding Limited,30/04/2019,WO,Alibaba Group Holding Limited
WO-2020035087-A3,"Alipay (Hangzhou) Information Technology Co., Ltd.",06/11/2019,WO,Alipay (Hangzhou) Information Technology
WO-2020019791-A1,"Alibaba Group Holding Co., Ltd.",27/07/2018,WO,
WO-2020015414-A1,"Alibaba Group Holding Co., Ltd.",18/07/2018,WO,
CN-113609231-A,"Alipay (Hangzhou) Information Technology Co., Ltd.",30/09/2021,CN,Alipay (Hangzhou) Information Technology
CN-111213173-A,"Alibaba Group Holding Co., Ltd.",11/09/2019,CN,
WO-2020011287-A3,"Alipay (Hangzhou) Information Technology Co., Ltd.",15/10/2019,WO,Alipay (Hangzhou) Information Technology
CN-111226248-A,"Alibaba Group Holding Co., Ltd.",02/09/2019,CN,
CN-110633309-A,"Alibaba Group Holding Co., Ltd.",30/08/2019,CN,
WO-2019228565-A3,Alibaba Group Holding Limited,11/09/2019,WO,Alibaba Group Holding Limited
KR-20220160100-A,International Vinnes Machine Corporation,13/05/2020,KR,
WO-2019228561-A3,Alibaba Group Holding Limited,02/09/2019,WO,Alibaba Group Holding Limited
WO-2021249716-A1,Nchain Licensing Ag,12/06/2020,WO,Nchain Licensing Ag
WO-2019101237-A2,Alibaba Group Holding Limited,06/03/2019,WO,Alibaba Group Holding Limited
PH-12019501832-A1,Alibaba Group Holding Ltd,28/12/2018,PH,
PH-12019501833-A1,Alibaba Group Holding Ltd,28/12/2018,PH,
PH-12019501730-A1,Alibaba Group Holding Ltd,19/12/2018,PH,
WO-2019170170-A3,Alibaba Group Holding Limited,21/06/2019,WO,Alibaba Group Holding Limited
KR-20200083940-A,Alibaba Group Holding Limited,28/12/2018,KR,Alibaba Group Holding Limited
WO-2019072306-A2,Alibaba Group Holding Limited,28/12/2018,WO,Alibaba Group Holding Limited
JP-2020516109-A,"Alibaba Group Holding Limited ALIBABA GROUP HOLDING Limited, Alibaba Group Holding Limited",28/12/2018,JP,Alibaba Group Holding Limited
JP-2020516108-A,"Alibaba Group Holding Limited ALIBABA GROUP HOLDING Limited, Alibaba Group Holding Limited",28/12/2018,JP,Alibaba Group Holding Limited
KR-20200083937-A,Alibaba Group Holding Limited,28/12/2018,KR,Alibaba Group Holding Limited
EP-4136560-A1,nChain Licensing AG,12/06/2020,EP,Nchain Licensing Ag
WO-2022237588-A1,"Alipay (Hangzhou) Information Technology Co., Ltd.",10/05/2021,WO,Alipay (Hangzhou) Information Technology
WO-2022237558-A1,"Alipay (Hangzhou) Information Technology Co., Ltd., Ant Blockchain Technology (Shanghai) Co., Ltd.",11/05/2021,WO,Alipay (Hangzhou) Information Technology
WO-2022179502-A1,"International Business Machines Corporation, Ibm (China) Co., Limited",24/02/2021,WO,International Business Machines Corporation
WO-2022058183-A1,"International Business Machines Corporation, Ibm United Kingdom Limited",21/09/2020,WO,International Business Machines Corporation
WO-2022206210-A1,"Alipay (Hangzhou) Information Technology Co., Ltd., Ant Blockchain Technology (Shanghai) Co., Ltd.",31/03/2021,WO,Alipay (Hangzhou) Information Technology
GB-2600543-A,Ibm,27/09/2020,GB,
WO-2022205958-A1,"Ant Blockchain Technology (Shanghai) Co., Ltd., Alipay (Hangzhou) Information Technology Co., Ltd.",30/03/2021,WO,Alipay (Hangzhou) Information Technology
WO-2022205965-A1,"Ant Blockchain Technology (Shanghai) Co., Ltd., Alipay (Hangzhou) Information Technology Co., Ltd.",30/03/2021,WO,Alipay (Hangzhou) Information Technology
WO-2022089198-A1,"International Business Machines Corporation, Ibm (China) Co., Limited",29/10/2020,WO,International Business Machines Corporation
KR-20200107770-A,Alibaba Group Holding Limited,04/03/2019,KR,Alibaba Group Holding Limited
WO-2019142076-A1,nChain Holdings Limited,18/01/2018,WO,nChain Holdings Limited
JP-2021511535-A,"Nchain Holdings Limited NCHAIN ??€?OLDINGS Limited, Nuchan Holdings Limited",18/01/2018,JP,nChain Holdings Limited
CN-113221192-A,"Alipay (Hangzhou) Information Technology Co., Ltd., Ant Blockchain Technology (Shanghai) Co., Ltd.",11/05/2021,CN,Alipay (Hangzhou) Information Technology
CN-115211073-A,Blockchain license company,04/03/2020,CN,
CN-115004625-A,International Business Machinery Company,23/01/2020,CN,
GB-2607780-A,Ibm,23/01/2020,GB,
WO-2019101236-A3,Alibaba Group Holding Limited,04/03/2019,WO,Alibaba Group Holding Limited
GB-2603309-A,Ibm,31/07/2019,GB,
WO-2021011124-A8,Mastercard International Incorporated,12/07/2019,WO,Mastercard International Incorporated
CN-111837101-A,"Innovation Advanced Technology Co., Ltd.",12/09/2019,CN,
CN-110717820-A,"Alibaba Group Holding Co., Ltd.",05/09/2019,CN,
CN-111108526-A,"Alibaba Group Holding Co., Ltd.",02/09/2019,CN,
CN-110597877-A,"Alibaba Group Holding Co., Ltd.",30/08/2019,CN,
WO-2019228574-A3,Alibaba Group Holding Limited,12/09/2019,WO,Alibaba Group Holding Limited
JP-2021506151-A,"Nchain Holdings Limited NCHAIN ??€?OLDINGS Limited, Nuchan Holdings Limited",07/12/2017,JP,nChain Holdings Limited
CN-111047310-A,"Alibaba Group Holding Co., Ltd.",15/10/2018,CN,
WO-2019111125-A1,nChain Holdings Limited,07/12/2017,WO,nChain Holdings Limited
WO-2019120331-A3,Alibaba Group Holding Limited,12/04/2019,WO,Alibaba Group Holding Limited
SG-11201910056P-A,Alibaba Group Holding Ltd,12/04/2019,SG,
CN-110809876-A,"Alibaba Group Holding Co., Ltd.",04/03/2019,CN,
SG-11201909076V-A,Alibaba Group Holding Ltd,04/03/2019,SG,
WO-2019101234-A3,Alibaba Group Holding Limited,04/03/2019,WO,Alibaba Group Holding Limited
SG-11201908647S-A,Alibaba Group Holding Ltd,04/03/2019,SG,
SG-11201908551Q-A,Alibaba Group Holding Ltd,04/03/2019,SG,
WO-2019101231-A3,Alibaba Group Holding Limited,04/03/2019,WO,Alibaba Group Holding Limited
AU-2019302938-A1,"Alipay (Hangzhou) Information Technology Co., Ltd.",11/10/2019,AU,Alipay (Hangzhou) Information Technology
TW-I738046-B,"Cayman Islands Commercial Innovation Advanced Technology Co., Ltd.",31/01/2019,TW,
EP-3933639-A1,"Alipay (Hangzhou) Information Technology Co., Ltd.",03/07/2020,EP,Alipay (Hangzhou) Information Technology
CN-111526217-A,"Alipay (Hangzhou) Information Technology Co., Ltd.",03/07/2020,CN,Alipay (Hangzhou) Information Technology
CN-111782338-A,"Alibaba Group Holding Co., Ltd.",12/12/2018,CN,
CN-111831739-A,International Business Machinery Company,19/04/2019,CN,
CN-111034151-A,"Alibaba Group Holding Co., Ltd.",30/04/2019,CN,
CN-114710329-A,"Innovation Advanced Technology Co., Ltd.",30/04/2019,CN,
KR-20200096241-A,Enchain Holdings Limited,07/12/2017,KR,nChain Holdings Limited
WO-2019137568-A3,Alibaba Group Holding Limited,30/04/2019,WO,Alibaba Group Holding Limited
KR-20220007152-A,Enchain Holdings Limited,10/05/2019,KR,nChain Holdings Limited
WO-2020229949-A1,nChain Holdings Limited,10/05/2019,WO,nChain Holdings Limited
DE-112021003402-T5,International Business Machines Corporation,03/08/2020,DE,International Business Machines Corporation
TW-202203062-A,"Mainland Shang Alipay (Hangzhou) Information Technology Co., Ltd.",03/07/2020,TW,Alipay (Hangzhou) Information Technology
KR-20220065049-A,Enchain Holdings Limited,23/09/2019,KR,nChain Holdings Limited
WO-2021074719-A1,"International Business Machines Corporation, Ibm Deutschland Gmbh",16/10/2019,WO,International Business Machines Corporation
WO-2019072284-A3,Alibaba Group Holding Limited,30/11/2018,WO,Alibaba Group Holding Limited
WO-2020240290-A1,nChain Holdings Limited,24/05/2019,WO,nChain Holdings Limited
WO-2020240292-A1,nChain Holdings Limited,24/05/2019,WO,nChain Holdings Limited
CN-115812298-A,International Business Machinery Company,03/08/2020,CN,
CN-112738139-A,"Alipay (Hangzhou) Information Technology Co., Ltd., Ant Blockchain Technology (Shanghai) Co., Ltd.",30/03/2021,CN,Alipay (Hangzhou) Information Technology
GB-2613724-A,Ibm,03/08/2020,GB,
CN-111488291-A,"Alipay (Hangzhou) Information Technology Co., Ltd.",24/06/2020,CN,Alipay (Hangzhou) Information Technology
CN-111815330-A,"Alipay (Hangzhou) Information Technology Co., Ltd.",31/08/2020,CN,Alipay (Hangzhou) Information Technology
CN-111967995-A,"Alipay (Hangzhou) Information Technology Co., Ltd.",20/10/2020,CN,Alipay (Hangzhou) Information Technology
JP-2020078081-A,"Alibaba Group Holding Limited Alibaba Group Holding Limited, Alibaba Group Holding LTD, Alibaba Group Holding Limited",14/01/2020,JP,Alibaba Group Holding Limited
CN-111768183-A,"Alipay (Hangzhou) Information Technology Co., Ltd.",31/08/2020,CN,Alipay (Hangzhou) Information Technology
CN-111985938-A,"Alipay (Hangzhou) Information Technology Co., Ltd.",18/08/2020,CN,Alipay (Hangzhou) Information Technology
WO-2020098837-A3,"Alipay (Hangzhou) Information Technology Co., Ltd.",03/02/2020,WO,Alipay (Hangzhou) Information Technology
SG-11201903535S-A,Alibaba Group Holding Ltd,30/11/2018,SG,
WO-2019141291-A3,Alibaba Group Holding Limited,20/05/2019,WO,Alibaba Group Holding Limited
WO-2020139765-A1,Alibaba Group Holding Limited,29/12/2018,WO,Alibaba Group Holding Limited
CN-113711536-A,International Business Machinery Company,24/04/2019,CN,
WO-2019170178-A2,Alibaba Group Holding Limited,28/06/2019,WO,Alibaba Group Holding Limited
WO-2019141297-A2,Alibaba Group Holding Limited,20/05/2019,WO,Alibaba Group Holding Limited
CN-112119424-A,"Innovation Advanced Technology Co., Ltd.",20/05/2019,CN,
CN-110998639-A,"Alibaba Group Holding Co., Ltd.",04/03/2019,CN,
CN-111782275-A,"Alibaba Group Holding Co., Ltd.",25/10/2018,CN,
WO-2023029731-A1,"Alipay (Hangzhou) Information Technology Co., Ltd.",06/09/2021,WO,Alipay (Hangzhou) Information Technology
WO-2019101227-A3,Alibaba Group Holding Limited,28/02/2019,WO,Alibaba Group Holding Limited
BR-112019008064-A2,Alibaba Group Holding Ltd,27/11/2018,BR,
JP-2020518040-A,"Alibaba Group Holding Limited ALIBABA GROUP HOLDING Limited, Alibaba Group Holding Limited",22/05/2017,JP,Alibaba Group Holding Limited
CN-111160913-B,"Alipay (Hangzhou) Information Technology Co., Ltd.",02/04/2020,CN,Alipay (Hangzhou) Information Technology
CN-112001731-B,"Alipay (Hangzhou) Information Technology Co., Ltd.",02/04/2020,CN,Alipay (Hangzhou) Information Technology
JP-2023027206-A,"Nchain Licensing Age, NCHAIN ??€?icensing AG",15/12/2017,JP,Nchain Licensing Ag
CN-111080292-B,"Alipay (Hangzhou) Information Technology Co., Ltd.",25/11/2019,CN,Alipay (Hangzhou) Information Technology
SG-11201907830P-A,Alibaba Group Holding Ltd,22/05/2017,SG,
CN-111095218-B,"Innovation Advanced Technology Co., Ltd.",01/08/2019,CN,
CN-111538996-A,"Alipay (Hangzhou) Information Technology Co., Ltd.",08/07/2020,CN,Alipay (Hangzhou) Information Technology
CN-113656806-A,"Alipay (Hangzhou) Information Technology Co., Ltd.",08/07/2020,CN,Alipay (Hangzhou) Information Technology
CN-110011978-B,"Innovation Advanced Technology Co., Ltd.",08/03/2019,CN,
CN-110800254-B,"Innovation Advanced Technology Co., Ltd.",28/02/2019,CN,
CN-110009338-B,"Innovation Advanced Technology Co., Ltd.",25/12/2018,CN,
