id,priority_date,cite_number,assignee
US-11609902-B2,30/06/2017,12,Nchain Licensing Ag
US-2018268152-A1,19/03/2017,28,International Business Machines Corporation
US-10756884-B2,02/07/2018,13,International Business Machines Corporation
US-2018114403-A1,26/10/2016,39,International Business Machines Corporation
US-11580606-B2,06/09/2017,12,State Farm Mutual Automobile Insurance Company
US-2018103042-A1,12/10/2016,52,Bank Of America Corporation
US-2018165588-A1,09/12/2016,34,"Cognitive Scale, Inc."
US-2019317934-A1,16/04/2018,14,Slock.It Gmbh
US-10656936-B2,30/08/2018,13,Dell Products L.P.
US-2018331832-A1,05/11/2015,91,Allen Pulsifer
US-2017132620-A1,06/11/2015,245,"SWFL, Inc., d/b/a ""Filament"""
US-2017132619-A1,06/11/2015,245,"SWFL, Inc., d/b/a ""Filament"""
US-2020034550-A1,27/07/2018,14,"Hrl Laboratories, Llc"
US-11546162-B2,09/11/2017,13,Nchain Licensing Ag
US-2017352012-A1,18/04/2016,124,R3 Ltd.
US-2018165758-A1,09/12/2016,46,"Cognitive Scale, Inc."
US-2018165476-A1,09/12/2016,47,International Business Machines Corporation
US-2020186510-A1,06/12/2018,14,Bank Of America Corporation
US-2021406877-A1,29/09/2018,14,Jiangsu Fuzamei Technology Co. Ltd
US-2018183600-A1,28/12/2016,47,Mastercard International Incorporated
US-2019173667-A1,23/12/2016,84,"Cloudminds (Shenzhen) Robotics Systems Co., Ltd."
US-2019312877-A1,23/12/2016,113,"Cloudminds (Shenzhen) Robotics Systems Co., Ltd."
US-2017262862-A1,21/12/2015,130,Mohamed Alaa Aljawhari
US-2020099512-A1,03/08/2017,14,Liquineq AG
US-11615382-B2,30/12/2017,13,Xeeda Inc.
US-2021051013-A1,12/08/2019,14,"Advanced New Technologies Co., Ltd."
US-2018039667-A1,05/08/2016,206,Chicago Mercantile Exchange Inc.
US-11042619-B2,17/01/2019,13,"Toyota Motor North America, Inc."
US-2018189528-A1,05/01/2017,58,International Business Machines Corporation
US-11249953-B2,30/01/2019,13,Penta Security Systems Inc.
US-2020250753-A1,05/02/2019,14,Edmon Blount
US-2019122296-A1,23/10/2017,21,Alibaba Group Holding Limited
US-2017206522-A1,15/01/2016,76,Accenture Global Solutions Limited
US-10708068-B2,28/02/2019,13,Alibaba Group Holding Limited
US-2018219669-A1,27/01/2017,46,Hewlett Packard Enterprise Development Lp
US-2018150835-A1,30/11/2016,63,International Business Machines Corporation
US-2019386834-A1,03/03/2017,39,Nec Corporation
US-2019044727-A1,08/02/2016,84,"Guy Scott, Lindsay Moloney"
US-2020364214-A1,20/08/2019,14,Alibaba Group Holding Limited
US-2017236104-A1,12/02/2016,105,D+H Usa Corporation
US-2017236102-A1,12/02/2016,105,D+H Usa Corporation
US-2019050541-A1,23/02/2016,82,nChain Holdings Limited
US-2019057362-A1,23/02/2016,98,nChain Holdings Limited
US-2019068365-A1,23/02/2016,54,nChain Holdings Limited
US-11263315-B2,03/12/2018,13,Ebay Inc.
US-2018255090-A1,03/03/2017,50,International Business Machines Corporation
US-2020076798-A1,28/08/2018,22,Ofer A. LIDSKY
US-2018349896-A1,05/06/2017,31,Mastercard International Incorporated
US-2020076603-A1,05/09/2018,22,NEC Laboratories Europe GmbH
US-2020021446-A1,06/03/2017,59,Nokia Technologies Oy
US-2021166193-A1,24/10/2018,14,"Advanced New Technologies Co., Ltd."
US-2020311299-A1,03/11/2017,26,Visa International Service Association
US-2021232572-A1,20/08/2019,14,"Advanced New Technologies Co., Ltd."
US-11146384-B2,30/09/2017,14,"One Connect Smart Technology Co., Ltd. (Shenzhen)"
US-2021255995-A1,29/11/2017,14,Technion Research & Development Foundation Limited
US-2019109702-A1,05/10/2017,27,Accenture Global Solutions Limited
US-2019287107-A1,15/03/2018,24,International Business Machines Corporation
US-2021336786-A1,12/08/2019,14,"Advanced New Technologies Co., Ltd."
US-2019266576-A1,27/02/2018,23,"Anchor Labs, Inc."
US-2017287068-A1,31/03/2016,77,Thomson Reuters Global Resources Unlimited Company
US-11374765-B2,18/10/2018,13,"Cal Wilson Webster, Joshua Miller"
US-2022335037-A1,16/04/2018,14,Bc Development Labs Gmbh
US-2021112023-A1,20/04/2018,22,"Netease (Hangzhou) Network Co., Ltd."
US-2022391980-A1,05/02/2019,14,Edmon Blount
US-2019333142-A1,27/04/2018,25,Sarah Apsel THOMAS
US-2019332691-A1,30/04/2018,24,Robert Dale Beadles
US-10735207-B2,28/02/2019,13,Alibaba Group Holding Limited
US-2019005595-A1,21/08/2017,23,Kyle Tautenhan
US-11436368-B2,04/04/2019,13,Accenture Global Solutions Limited
US-2019163883-A1,13/05/2016,64,nChain Holdings Limited
US-2021312558-A1,23/11/2016,48,State Farm Mutual Automobile Insurance Company
US-2017352219-A1,06/08/2015,35,Blockchain Technologies Corporation
US-2020034553-A1,29/07/2018,25,Guardtime Ip Holdings Ltd.
US-2020389291-A1,18/09/2018,15,Baidu Online Network Technology (Beijing) Co" Ltd.
US-2017364552-A1,16/06/2016,72,The Bank Of New York Mellon
US-2018152289-A1,30/11/2016,51,International Business Machines Corporation
US-2017372278-A1,28/06/2016,62,Private Limited Liability Company CPN Gold B.V.
US-2018293557-A1,05/04/2017,27,"Samsung Sds Co., Ltd."
US-11481765-B2,25/10/2018,13,"Advanced New Technologies Co., Ltd."
US-2020374135-A1,24/01/2017,125,"One Connect Smart Technology Co., Ltd. (Shenzhen)"
US-2019075102-A1,04/09/2017,24,Electronics And Telecommunications Research Institute
US-2018144298-A1,21/11/2016,30,"Carneros Bay Capital, Llc"
US-11271799-B2,03/07/2020,13,"Alipay (Hangzhou) Information Technology Co., Ltd."
US-2019028276-A1,20/07/2017,103,Chicago Mercantile Exchange Inc.
US-2019036778-A1,26/07/2017,51,International Business Machines Corporation
US-10719816-B1,19/11/2015,20,"Wells Fargo Bank, N.A."
US-2018123779-A1,01/11/2016,59,Jiangang Zhang
US-2018082294-A1,21/05/2015,172,Mastercard International Incorporated
US-2020042992-A1,18/09/2017,15,Tencent Technology (Shenzhen) Company Limited
US-2018048461-A1,10/08/2016,67,Peer Ledger Inc.
US-2019253258-A1,03/11/2016,33,Visa International Service Association
US-2019334726-A1,30/04/2018,27,Dell Products L.P.
US-2018316492-A1,01/05/2017,28,"Qbrics, Inc."
US-2019165949-A1,24/11/2017,33,International Business Machines Corporation
US-2018268386-A1,13/09/2016,47,"C. Jay Wack, Edward M. Scheidt"
US-10997125-B2,29/11/2017,14,Technion Research & Development Foundation Limited
US-2019278852-A1,06/03/2018,31,International Business Machines Corporation
US-10986079-B2,06/12/2018,14,Bank Of America Corporation
US-2019004789-A1,30/06/2017,34,Oracle International Corporation
US-2018091316-A1,26/09/2016,196,Shapeshift Ag
US-2019147431-A1,16/11/2017,38,Blockmason Inc.
US-2018101701-A1,07/10/2016,60,Acronis International Gmbh
US-2019228178-A1,24/01/2018,34,"Zortag, Inc."
US-2018121635-A1,28/10/2016,54,Acronis International Gmbh
US-11281658-B2,16/04/2018,14,Bc Development Labs Gmbh
US-2020026785-A1,18/07/2018,28,Bank Of America Corporation
US-11651355-B2,21/05/2021,,Igt Global Solutions Corporation
US-2017213209-A1,21/01/2016,115,International Business Machines Corporation
US-11017112-B2,03/07/2018,12,Tyson York Winarski
US-2016203477-A1,14/01/2015,71,"Modernity Financial Holdings, Ltd."
US-11341123-B2,30/06/2017,12,Nchain Licensing Ag
US-2022286354-A1,30/12/2016,823,Intel Corporation
US-11290324-B2,30/12/2016,823,Intel Corporation
US-2019349190-A1,30/12/2016,823,Intel Corporation
US-2019236698-A1,26/01/2018,6,Richard Postrel
US-10929842-B1,05/03/2018,27,"Winklevoss Ip, Llc"
US-11341490-B2,11/10/2017,16,International Business Machines Corporation
US-10911244-B2,27/03/2019,23,"Advanced New Technologies Co., Ltd."
US-2023119065-A1,19/03/2018,35,"Huawei Technologies Co., Ltd."
US-2022368545-A1,08/07/2020,40,"Zhejiang University City College, Zhejiang Gongshang University, Institute Of Information Engineering,Cas, Zhejiang Ponshine Information Technology Co., Ltd."
US-2021110063-A1,26/07/2017,57,"Advanced New Technologies Co., Ltd."
US-2021126916-A1,02/07/2019,61,"Advanced New Technologies Co., Ltd."
US-2021377225-A1,08/12/2017,41,"Symbiont.Io, Inc."
US-10606738-B2,07/12/2016,41,International Business Machines Corporation
US-11018850-B2,26/12/2017,29,"Akamai Technologies, Inc."
US-10797886-B2,28/03/2017,24,Alibaba Group Holding Limited
US-2021227040-A1,26/12/2017,45,"Akamai Technologies, Inc."
US-11531661-B2,27/03/2018,34,International Business Machines Corporation
US-2021006561-A1,24/02/2017,66,Verizon Patent And Licensing Inc.
US-2021067496-A1,31/03/2017,50,Vijay Madisetti
US-10095992-B1,01/07/2016,49,"Intraspexion, Inc."
US-2022141231-A1,06/03/2018,35,Americorp Investments Llc
US-2022150257-A1,06/03/2018,35,Americorp Investments Llc
US-2022100736-A1,22/06/2018,36,Attestiv Inc.
US-11475438-B2,25/07/2017,24,Bank Of America Corporation
US-11635950-B2,09/11/2017,27,Nchain Licensing Ag
US-11288740-B2,29/12/2017,61,Intel Corporation
US-2021166327-A1,03/03/2017,54,State Farm Mutual Automobile Insurance Company
US-10297094-B2,06/04/2016,56,Guardtime Ip Holdings Limited
US-2023105027-A1,19/11/2018,33,"TRIPP, Inc."
US-10783260-B2,21/02/2017,24,"Coinplug, Inc."
US-9965805-B1,28/06/2013,133,"Winklevoss Ip, Llc"
US-10630769-B2,26/12/2017,29,"Akamai Technologies, Inc."
US-9992022-B1,06/02/2017,111,Northern Trust Corporation
US-11341488-B2,06/02/2017,56,Northern Trust Corporation
US-2020328901-A1,30/09/2016,53,"Entrust, Inc."
US-2020293648-A1,22/12/2015,140,Refinitiv Us Organization Llc
US-2023231711-A1,29/07/2016,32,Nchain Licensing Ag
US-10438290-B1,05/03/2018,31,"Winklevoss Ip, Llc"
US-2023092134-A1,27/03/2014,32,Raymond Anthony Joao
US-11321681-B2,06/02/2017,45,Northern Trust Corporation
US-2020274700-A1,23/02/2016,65,nChain Holdings Limited
US-2020274694-A1,03/08/2017,94,Parity Technologies Ltd.
